4.26,17.17,9.28,17.3,9.04,1.97,2.29,1.96,1.0
4.17,16.98,8.98,17.16,9.03,1.99,2.32,2.0,1.0
4.46,17.31,8.93,17.15,9.02,1.99,2.41,1.72,1.0
4.11,17.63,8.79,17.21,9.01,2.05,2.36,1.82,1.0
4.09,17.61,8.66,17.37,9.01,1.94,2.37,1.77,1.0
4.77,17.55,8.79,17.39,8.99,1.92,2.38,1.72,1.0
4.75,17.46,8.79,17.43,8.98,1.97,2.41,1.72,1.0
4.75,17.19,8.79,17.39,9.0,1.64,2.36,1.66,1.0
4.83,16.06,8.64,17.39,6.97,1.58,2.36,1.61,1.0
4.75,16.07,9.26,16.98,6.62,1.45,2.07,1.66,1.0
4.76,11.08,8.62,17.01,6.53,1.43,2.02,1.66,1.0
4.73,12.41,8.63,17.19,6.76,1.43,2.02,1.67,1.0
4.79,12.83,8.61,17.19,6.84,1.48,1.99,1.63,1.0
5.03,12.94,8.67,17.07,6.72,1.43,1.95,1.69,1.0
5.03,13.09,7.59,17.28,6.89,1.45,1.84,1.64,1.0
5.03,13.0,7.56,15.17,6.12,1.38,1.61,1.7,1.0
4.78,12.91,7.95,13.73,6.28,1.43,1.66,1.82,1.0
4.34,12.8,7.95,9.02,4.63,1.45,1.53,1.82,1.0
4.7,11.69,7.83,9.12,4.49,1.45,1.58,1.77,1.0
4.69,11.69,7.77,8.82,4.67,1.4,1.6,1.76,1.0
5.22,11.26,7.42,9.2,4.58,1.66,1.7,1.76,1.0
5.24,11.19,7.39,9.35,4.71,1.66,1.66,1.7,1.0
4.92,10.74,7.2,9.34,4.71,1.7,1.53,1.64,1.0
4.92,9.57,6.79,10.33,4.79,1.58,1.48,1.45,1.0
4.92,9.59,7.77,10.33,4.77,1.58,1.48,1.43,1.0
4.28,9.74,8.07,10.31,4.73,1.82,1.48,1.45,1.0
4.33,10.05,8.44,10.34,4.86,1.77,1.43,1.58,1.0
4.34,10.22,8.44,10.08,4.9,1.76,1.36,1.6,1.0
4.34,10.14,9.06,11.98,4.47,1.82,1.41,1.58,1.0
4.33,10.18,8.44,11.98,4.69,1.82,1.48,1.52,1.0
4.4,9.99,8.37,12.97,4.64,1.82,1.55,1.58,1.0
4.35,8.97,8.69,13.72,4.33,1.86,1.67,1.8,1.0
4.31,8.33,8.71,13.73,4.24,1.8,1.66,1.84,1.0
4.02,8.22,8.61,13.75,4.24,1.79,1.77,1.79,1.0
4.07,7.97,8.59,13.33,3.99,1.79,1.77,1.79,1.0
4.09,7.93,8.82,13.99,3.94,1.79,1.79,1.75,1.0
4.1,7.99,8.61,14.15,3.62,1.75,1.73,1.61,1.0
4.15,7.45,8.61,13.91,4.04,1.86,1.77,1.61,1.0
3.49,7.51,8.63,13.86,4.06,1.97,1.73,1.6,1.0
3.61,7.51,10.92,13.75,3.81,1.97,1.72,1.61,1.0
2.65,6.61,10.32,13.08,3.81,1.69,1.61,1.47,1.0
2.65,6.97,10.38,13.08,3.65,1.69,1.6,1.47,1.0
2.32,6.97,10.51,13.62,4.07,1.64,1.6,1.48,1.0
3.19,7.52,10.54,13.54,4.02,1.76,1.6,1.41,1.0
3.32,7.65,9.85,13.85,4.12,1.82,1.6,1.43,1.0
3.29,7.47,10.13,13.89,4.26,1.6,1.58,1.43,1.0
3.41,7.18,11.53,14.2,4.11,1.64,1.63,1.34,1.0
3.43,8.6,11.55,14.71,4.11,1.7,1.64,1.34,1.0
3.66,8.7,10.75,14.25,4.48,1.66,1.72,1.36,1.0
3.66,8.91,10.92,14.27,4.2,1.66,1.67,1.38,1.0
3.61,8.85,10.92,13.89,4.16,1.67,1.63,1.32,1.0
3.67,8.14,10.65,12.73,4.16,1.67,1.63,1.07,1.0
3.72,8.24,10.94,13.1,4.1,1.67,1.63,1.0,1.0
3.95,8.31,11.32,13.35,4.1,1.67,1.55,1.0,1.0
3.9,8.32,12.01,13.67,4.06,1.72,1.6,1.0,1.0
3.88,8.67,11.84,12.99,4.25,1.84,1.58,1.0,1.0
3.9,8.56,11.74,12.92,4.46,1.83,1.6,1.02,1.0
4.44,9.28,12.12,12.76,4.09,1.76,1.67,1.34,1.0
4.45,9.01,12.13,13.58,4.09,1.63,1.72,1.36,1.0
4.8,9.19,10.13,13.57,4.04,1.67,1.73,1.36,1.0
4.84,9.1,10.32,13.83,4.09,1.84,1.73,1.38,1.0
4.9,10.44,10.27,13.8,4.09,1.88,1.75,1.45,1.0
4.96,10.67,12.39,13.63,3.7,1.88,1.79,1.45,1.0
4.46,10.33,12.43,13.11,3.75,1.82,1.9,1.47,1.0
5.94,12.09,12.43,13.83,3.67,1.77,1.88,1.45,1.0
5.97,12.47,11.96,13.81,3.49,1.82,1.94,1.43,1.0
6.07,12.64,10.34,17.03,4.69,2.09,2.0,1.43,1.0
6.06,11.63,10.33,17.41,4.74,2.04,2.0,1.43,1.0
6.19,11.57,10.32,16.57,4.48,2.02,1.9,1.43,1.0
6.22,11.35,10.17,16.93,4.39,2.01,1.9,1.43,1.0
6.19,11.39,10.22,17.39,4.36,2.01,1.94,1.41,1.0
6.17,11.46,10.37,17.52,4.33,2.01,1.87,1.36,1.0
6.58,12.49,10.08,17.41,4.34,2.06,1.87,1.5,1.0
6.45,12.72,10.08,18.63,4.67,2.07,1.94,1.52,1.0
6.58,13.04,9.25,18.63,4.66,2.04,1.9,1.57,1.0
6.61,13.43,9.47,19.16,4.42,1.92,2.01,1.57,1.0
6.63,13.43,9.47,19.11,4.21,1.92,2.11,1.55,1.0
6.31,13.49,9.04,19.19,4.21,1.88,2.19,1.26,1.0
6.34,14.78,10.27,18.77,4.28,1.9,2.19,1.32,1.0
6.88,14.7,10.25,19.2,4.36,1.9,2.36,1.47,1.0
6.85,14.69,10.14,19.27,4.52,1.73,2.3,1.45,1.0
6.88,13.9,10.19,19.27,4.52,1.67,2.3,1.4,1.0
7.06,13.98,7.47,19.04,4.52,1.72,2.26,1.45,1.0
7.06,13.94,7.52,19.82,4.43,1.66,2.17,1.45,1.0
5.8,12.4,7.52,18.95,4.43,1.66,2.18,1.47,1.0
5.76,12.2,7.49,19.02,5.18,1.61,2.13,1.48,1.0
5.71,13.01,7.49,16.47,4.28,1.16,2.02,1.57,1.0
5.81,12.96,7.64,15.62,4.13,1.18,2.02,1.57,1.0
5.47,13.03,7.68,15.92,4.06,1.36,2.06,1.57,1.0
5.59,13.06,7.71,15.56,4.11,1.43,2.1,1.61,1.0
5.59,13.26,8.02,14.43,4.09,1.43,2.06,1.63,1.0
5.59,13.18,7.93,14.7,4.54,1.52,2.01,1.63,1.0
5.03,12.34,7.9,14.51,4.56,1.45,2.01,1.48,1.0
5.1,12.09,7.47,12.78,4.21,1.45,1.91,1.53,1.0
4.92,11.74,8.69,12.61,4.24,1.43,1.9,1.61,1.0
4.88,11.03,9.67,12.04,4.27,1.45,1.83,1.66,1.0
4.84,11.14,9.67,13.42,4.32,1.7,1.72,1.72,1.0
4.94,11.38,9.6,13.71,4.46,1.75,1.48,1.73,1.0
5.29,10.46,8.35,13.5,4.46,1.73,1.41,1.69,1.0
5.15,14.45,8.35,12.98,4.64,1.73,1.28,1.57,1.0
5.15,14.46,8.48,12.62,4.58,1.73,1.28,1.63,1.0
5.11,14.25,8.46,12.59,4.66,1.75,1.34,1.61,1.0
4.81,14.58,8.28,12.64,4.77,1.69,1.34,1.55,1.0
4.83,14.82,8.14,11.28,4.76,1.7,1.34,1.6,1.0
4.85,15.15,8.12,11.65,4.79,1.7,1.4,1.72,1.0
4.93,15.03,8.12,11.65,3.97,1.75,1.41,1.76,1.0
4.75,14.14,8.53,12.68,4.54,1.8,1.57,1.63,1.0
4.62,14.14,8.62,12.59,4.54,1.79,1.57,1.67,1.0
4.73,14.23,8.6,13.71,4.65,1.72,1.52,1.66,1.0
4.59,14.24,8.53,13.71,4.65,1.72,1.47,1.61,1.0
4.58,14.03,8.41,13.82,4.65,1.83,1.47,1.6,1.0
4.75,14.73,8.73,13.35,4.29,1.76,1.47,1.58,1.0
4.75,14.56,8.69,13.34,4.27,1.88,1.53,1.64,1.0
4.67,14.48,8.6,13.5,4.3,1.88,1.58,1.6,1.0
4.68,14.48,7.62,13.57,4.28,1.9,1.58,1.45,1.0
4.76,14.5,6.02,15.04,4.28,1.88,1.53,1.4,1.0
4.78,14.42,6.12,14.63,4.23,1.72,1.66,1.34,1.0
4.78,13.7,6.4,15.42,4.09,1.72,1.66,1.48,1.0
4.43,13.12,6.26,15.41,3.99,1.73,1.79,1.47,1.0
3.5,9.75,6.3,15.37,3.7,1.8,1.79,1.6,1.0
3.51,10.3,8.65,15.36,3.53,1.8,1.73,1.55,1.0
3.65,14.95,8.62,16.35,3.42,1.84,1.73,1.79,1.0
3.62,14.45,8.65,16.28,3.5,1.86,1.79,1.8,1.0
3.58,14.54,8.74,16.46,3.56,1.84,1.77,1.75,1.0
3.8,14.54,8.73,16.25,3.56,1.84,1.72,1.63,1.0
3.86,14.99,8.69,16.6,3.67,1.84,1.92,1.63,1.0
3.85,15.3,8.56,15.41,2.76,1.8,1.8,1.69,1.0
4.01,15.51,11.58,15.36,2.77,1.86,1.84,1.64,1.0
3.87,15.76,11.59,14.2,2.77,1.82,1.95,1.77,1.0
3.97,15.78,11.63,15.14,2.77,1.77,1.95,1.76,1.0
3.98,15.81,11.45,16.12,3.41,1.66,1.95,1.76,1.0
3.77,15.15,11.45,16.34,3.32,1.61,2.06,1.76,1.0
3.77,15.16,11.52,16.35,3.33,1.48,2.02,1.72,1.0
3.79,15.16,11.55,16.24,3.33,1.53,1.99,1.72,1.0
3.85,15.16,11.68,16.11,3.33,1.53,2.0,1.73,1.0
3.74,15.17,11.73,14.66,3.33,1.6,1.99,1.72,1.0
3.72,15.4,11.71,14.44,3.51,1.55,1.92,1.7,1.0
6.39,22.94,11.53,13.35,3.67,1.73,1.96,1.63,1.0
6.64,23.14,11.61,13.35,3.69,1.84,1.9,1.86,1.0
6.49,22.61,11.76,13.3,3.73,1.73,1.77,1.79,1.0
6.48,22.52,10.74,14.1,3.89,1.69,1.77,1.79,1.0
6.36,19.96,11.01,12.84,3.99,1.63,1.72,1.55,1.0
6.5,20.01,11.0,12.99,3.99,1.63,1.67,1.6,1.0
6.55,19.86,11.24,12.66,3.96,1.63,1.8,1.61,1.0
6.41,19.6,11.24,12.59,3.92,1.63,1.8,1.66,1.0
6.33,19.23,11.27,12.17,3.82,1.58,1.57,1.6,1.0
6.34,19.11,11.27,11.92,3.9,1.58,1.58,1.6,1.0
6.44,18.92,7.9,13.46,3.95,1.53,1.53,1.64,1.0
6.42,18.71,7.86,13.28,3.81,1.58,1.4,1.57,1.0
6.42,18.68,7.86,14.45,4.62,1.63,1.38,1.7,1.0
6.42,18.76,8.06,13.23,4.16,1.75,1.43,1.72,1.0
6.47,18.88,7.6,13.5,4.14,1.86,1.34,1.73,1.0
6.6,18.87,7.81,14.35,4.23,1.96,1.34,1.72,1.0
6.82,19.5,8.37,14.22,4.18,1.91,1.4,1.76,1.0
6.79,19.5,7.92,14.24,4.22,1.95,1.4,1.76,1.0
6.8,19.49,7.87,14.15,4.2,2.01,1.47,1.88,1.0
7.23,20.16,7.84,13.58,4.1,2.05,1.41,2.31,1.0
4.89,10.86,7.88,13.41,4.04,1.9,1.34,2.27,1.0
4.55,10.59,7.92,13.67,4.02,1.83,1.28,2.09,1.0
4.76,10.6,10.64,13.68,4.12,1.82,1.3,2.05,1.0
4.95,10.37,9.89,14.7,4.66,1.92,1.32,2.04,1.0
5.17,9.82,9.74,14.95,4.58,1.92,1.34,2.09,1.0
5.31,9.87,9.85,15.05,4.47,1.92,1.34,2.04,1.0
5.31,9.69,9.85,15.02,4.47,1.94,1.18,2.04,1.0
5.31,9.69,9.85,15.73,4.59,1.94,1.18,2.0,1.0
5.51,9.67,9.83,15.66,4.59,1.97,1.26,2.0,1.0
5.54,9.58,10.97,16.91,4.55,1.97,1.32,1.96,1.0
5.68,9.74,11.05,15.72,5.24,2.81,1.72,2.11,1.0
6.19,9.8,11.05,15.73,5.24,2.85,1.92,2.07,1.0
6.23,10.14,11.12,13.67,4.52,2.83,1.97,2.01,1.0
6.3,9.93,11.06,13.71,4.54,2.75,1.94,2.01,1.0
6.27,9.99,11.07,13.36,4.56,2.66,1.9,2.01,1.0
6.45,10.11,11.42,13.28,4.47,2.58,1.9,2.01,1.0
6.2,8.91,11.55,13.46,4.49,2.59,1.86,1.97,1.0
6.2,9.12,11.63,13.49,4.47,2.56,1.86,2.16,1.0
6.25,9.69,11.75,13.49,4.44,2.47,1.82,2.1,1.0
5.78,10.11,12.27,13.92,4.44,2.52,1.82,1.67,1.0
5.75,10.46,12.34,13.9,4.4,2.64,1.83,1.69,1.0
5.79,10.46,12.26,13.63,4.41,2.61,1.94,1.69,1.0
5.79,10.89,9.85,13.64,4.29,2.76,2.04,1.9,1.0
5.7,10.8,9.81,12.09,3.54,2.71,2.07,1.95,1.0
5.64,11.08,10.07,12.14,3.65,2.75,2.06,1.9,1.0
5.64,13.88,12.13,11.85,3.54,2.74,2.16,1.95,1.0
5.61,14.05,11.86,13.19,4.16,2.74,2.14,1.94,1.0
5.72,14.71,11.87,13.45,4.01,2.81,2.16,1.94,1.0
5.66,14.73,11.98,13.97,4.16,2.81,2.12,1.95,1.0
5.63,14.83,11.1,12.38,4.1,2.84,2.12,1.95,1.0
5.48,14.78,11.16,12.42,3.11,2.01,1.86,1.73,1.0
4.9,14.6,11.18,12.69,3.08,1.95,1.63,1.72,1.0
4.8,14.37,11.11,12.74,3.06,1.94,1.57,1.67,1.0
5.22,14.45,11.35,12.69,3.03,1.99,1.61,1.67,1.0
5.83,14.96,11.82,12.88,3.01,2.0,1.61,1.66,1.0
6.3,15.11,11.69,11.99,3.03,2.01,1.61,1.72,1.0
6.44,15.15,11.27,11.75,3.07,2.05,1.6,1.72,1.0
6.44,15.05,11.2,12.22,3.24,2.04,1.64,1.48,1.0
6.38,14.67,11.06,12.25,3.51,2.05,1.69,1.43,1.0
6.49,14.13,10.87,12.06,3.62,1.94,1.69,1.38,1.0
7.52,13.89,10.79,13.09,3.56,1.72,1.8,1.76,1.0
7.46,14.2,11.05,13.09,3.67,1.72,1.69,1.82,1.0
7.31,14.36,11.63,13.15,3.67,1.48,1.55,1.64,1.0
7.27,14.46,11.84,12.76,3.65,1.41,1.5,1.64,1.0
7.16,14.29,11.51,12.76,3.6,1.36,1.52,1.66,1.0
6.96,11.87,9.36,12.82,3.66,1.36,1.38,1.61,1.0
6.96,11.66,9.59,12.44,3.41,1.36,1.45,1.67,1.0
6.93,10.88,9.58,11.23,3.41,1.2,1.45,1.67,1.0
6.98,11.51,11.06,13.09,3.69,1.14,1.5,1.72,1.0
7.01,11.26,10.69,13.08,3.69,1.07,1.5,1.76,1.0
6.96,11.26,10.58,13.05,3.69,1.05,1.45,1.77,1.0
6.96,11.37,10.67,12.78,3.69,0.97,1.45,1.77,1.0
6.99,11.36,10.87,12.78,3.75,1.07,1.47,1.82,1.0
6.63,11.27,10.68,13.4,3.97,0.97,1.47,2.01,1.0
8.4,11.36,10.21,13.64,3.97,1.05,1.47,2.06,1.0
7.91,11.36,9.78,14.42,3.96,1.05,1.45,2.12,1.0
7.8,11.27,9.65,14.53,3.96,0.97,1.45,2.16,1.0
7.85,11.35,9.71,14.37,3.82,1.07,1.38,2.14,1.0
8.1,12.12,10.12,14.43,3.58,1.05,1.47,2.14,1.0
8.07,11.2,9.79,14.15,3.43,1.14,1.45,2.14,1.0
7.13,11.2,9.75,13.26,3.49,1.16,1.28,1.83,1.0
7.1,10.61,9.53,13.26,3.38,1.22,1.34,1.79,1.0
7.14,10.46,8.81,13.21,3.46,1.38,1.36,1.73,1.0
7.16,11.62,8.54,13.58,3.71,1.38,1.41,1.69,1.0
7.56,11.58,11.1,13.28,3.67,1.63,1.47,1.8,1.0
7.53,15.23,11.6,13.68,3.64,1.69,1.52,2.0,1.0
7.83,15.5,11.39,13.05,3.2,1.9,1.97,2.0,1.0
7.89,15.69,11.41,13.07,3.2,1.9,2.07,2.1,1.0
8.05,15.27,9.97,10.59,2.74,1.94,2.13,2.24,1.0
8.03,15.26,10.07,10.61,2.74,1.94,2.13,2.2,1.0
7.92,15.33,10.03,10.59,2.81,1.99,2.12,2.24,1.0
8.88,15.25,9.91,11.04,2.95,1.99,2.12,2.25,1.0
9.59,15.95,9.82,11.04,3.08,2.49,2.63,2.47,1.0
9.62,15.94,9.68,10.68,2.81,2.5,2.59,2.35,1.0
7.67,15.32,9.66,9.89,3.32,2.46,2.58,2.3,1.0
7.55,15.19,9.63,8.89,3.5,2.49,2.59,2.2,1.0
8.0,15.34,9.72,9.59,3.61,2.57,2.63,2.2,1.0
8.0,15.28,9.96,9.11,3.65,2.53,2.64,2.21,1.0
7.76,14.68,9.84,9.07,3.65,2.53,2.56,2.21,1.0
7.68,14.54,9.75,9.5,3.63,2.49,2.57,2.25,1.0
7.67,14.57,9.75,10.06,3.58,2.48,2.58,2.25,1.0
7.99,14.65,9.91,10.05,3.63,2.45,2.55,2.25,1.0
7.94,14.4,10.21,10.23,3.53,2.4,2.55,2.26,1.0
7.91,13.63,10.21,9.83,3.29,2.44,2.55,2.42,1.0
7.52,13.62,7.41,9.98,3.26,2.31,2.55,2.32,1.0
7.52,9.07,6.5,9.45,3.24,2.31,2.52,2.14,1.0
7.4,9.49,6.54,10.42,3.24,2.14,2.18,2.11,1.0
7.33,9.8,6.54,10.62,3.23,2.18,2.07,2.01,1.0
7.04,10.04,6.54,10.9,3.19,2.14,1.96,1.82,1.0
7.12,10.03,6.37,10.9,3.22,2.18,1.92,1.82,1.0
7.61,10.39,7.78,10.95,3.18,2.13,1.94,1.82,1.0
6.48,10.36,7.86,10.72,3.12,2.17,1.94,1.86,1.0
5.32,9.36,7.97,10.66,3.05,1.64,1.32,1.5,1.0
5.5,11.02,8.15,11.1,3.05,1.63,1.32,1.58,1.0
5.56,10.81,9.14,11.66,2.81,1.69,1.34,1.72,1.0
5.84,10.7,9.23,13.34,2.81,1.69,1.48,1.84,1.0
5.23,10.7,9.23,13.27,2.66,1.69,1.43,1.84,1.0
5.16,10.7,8.94,14.84,2.73,1.7,1.43,1.83,1.0
5.14,10.81,9.01,14.76,2.76,1.72,1.48,1.83,1.0
5.18,11.1,9.1,14.47,2.76,1.73,1.47,1.83,1.0
5.18,11.08,9.13,14.27,2.76,1.95,1.47,1.84,1.0
6.02,11.08,8.86,14.34,2.76,1.94,1.52,1.95,1.0
6.02,10.93,8.47,14.59,2.75,2.0,1.57,1.94,1.0
6.6,10.65,8.49,15.22,2.85,1.95,1.64,1.77,1.0
6.6,10.68,8.45,15.22,2.89,1.95,1.58,1.79,1.0
6.73,10.43,8.36,15.16,2.92,1.91,1.57,1.79,1.0
6.49,9.64,8.34,14.29,2.96,1.9,1.5,1.99,1.0
6.44,8.91,8.32,14.12,2.97,1.9,1.64,1.97,1.0
6.41,8.57,8.63,13.93,2.97,1.88,1.66,1.97,1.0
6.32,8.58,11.49,13.93,2.94,1.83,1.66,2.01,1.0
5.73,9.55,10.78,13.89,2.98,1.84,1.64,2.01,1.0
5.73,9.6,10.72,13.76,2.92,1.8,1.66,1.97,1.0
5.81,9.85,10.52,13.75,2.77,1.69,1.53,1.97,1.0
5.88,7.96,10.37,13.56,2.77,1.91,1.77,2.17,1.0
5.81,7.93,9.47,13.26,2.67,1.86,1.76,2.11,1.0
5.69,7.91,9.55,11.66,2.43,1.92,1.64,2.11,1.0
5.67,8.05,9.43,11.04,2.43,1.86,1.76,2.07,1.0
5.67,8.53,11.94,8.78,2.63,2.05,1.75,2.18,1.0
5.69,8.43,11.65,9.06,2.74,2.09,1.69,2.17,1.0
5.69,8.07,11.61,8.99,2.74,2.07,1.75,2.3,1.0
5.79,8.1,11.6,9.22,2.95,1.99,1.75,2.39,1.0
4.72,9.35,12.34,9.64,3.17,2.04,1.7,2.39,1.0
4.72,9.31,12.4,9.04,3.18,1.94,1.66,2.43,1.0
4.04,9.34,12.58,7.76,3.06,1.99,1.53,2.4,1.0
4.04,9.31,12.66,7.71,3.06,2.05,1.67,2.48,1.0
3.97,9.88,15.36,8.45,3.22,2.05,1.69,2.49,1.0
4.27,10.02,15.35,8.41,3.35,2.1,1.7,2.33,1.0
4.25,9.98,15.58,8.41,3.35,2.05,1.57,2.35,1.0
4.2,10.27,15.34,9.25,3.38,2.05,1.61,2.35,1.0
4.56,10.27,13.37,9.23,3.38,2.05,1.6,2.31,1.0
4.56,8.78,13.25,10.24,3.44,2.05,1.61,2.27,1.0
4.56,8.71,13.44,10.19,3.68,2.22,1.73,2.27,1.0
5.24,8.39,13.48,10.58,3.71,2.39,1.84,2.43,1.0
4.94,11.17,15.47,12.67,4.09,2.22,1.63,2.17,1.0
4.94,11.18,15.52,12.67,3.94,2.27,1.64,2.12,1.0
4.76,12.19,15.55,12.91,3.95,2.18,1.64,2.02,1.0
4.92,12.19,15.56,13.44,3.89,2.13,1.52,2.01,1.0
5.0,12.01,13.73,14.09,3.76,2.05,1.76,1.95,1.0
4.98,11.98,13.93,14.83,3.71,2.01,1.77,1.96,1.0
7.29,11.94,14.3,16.67,3.94,2.3,1.94,2.35,1.0
7.33,11.91,14.36,16.38,3.78,2.2,1.92,2.25,1.0
7.19,11.29,14.98,17.34,3.65,2.17,1.96,2.25,1.0
7.19,11.34,14.95,17.37,3.64,2.17,1.95,2.2,1.0
7.12,11.26,15.38,17.37,3.66,2.3,1.94,2.19,1.0
8.53,11.34,15.33,17.71,3.64,2.21,1.87,2.13,1.0
8.46,10.77,12.85,17.4,3.8,2.2,1.91,2.12,1.0
8.33,10.9,12.9,17.43,3.64,2.26,1.95,2.21,1.0
8.4,11.47,12.81,17.55,3.74,2.27,1.96,2.25,1.0
8.45,11.57,12.77,17.03,3.69,2.31,1.92,2.25,1.0
8.3,11.59,12.87,17.02,3.69,2.31,1.92,2.25,1.0
8.31,11.6,13.53,17.35,3.61,2.35,1.96,2.29,1.0
8.33,11.62,13.36,18.45,3.46,2.21,1.86,2.32,1.0
8.12,11.54,13.34,18.26,3.46,2.04,1.79,2.25,1.0
8.18,8.89,10.98,16.5,3.0,2.04,1.83,2.28,1.0
8.18,9.27,10.9,16.41,3.02,2.04,1.83,2.28,1.0
8.19,7.94,10.75,16.07,3.15,2.07,1.83,2.31,1.0
8.16,8.6,11.32,15.78,3.18,2.07,1.83,2.32,1.0
8.12,8.36,11.34,15.27,3.05,2.01,1.6,2.32,1.0
8.12,8.6,11.22,14.44,3.11,2.11,1.6,2.32,1.0
6.2,8.58,10.76,12.79,2.81,1.79,1.34,1.73,1.0
6.07,8.61,10.79,13.56,2.81,1.8,1.41,1.75,1.0
5.98,8.17,8.95,12.16,2.7,1.79,1.34,1.63,1.0
6.05,8.1,9.0,12.14,2.71,1.83,1.41,1.64,1.0
6.03,8.12,8.19,12.47,2.71,1.6,1.48,1.64,1.0
3.79,8.26,8.11,11.88,2.85,1.72,1.57,1.72,1.0
4.17,8.74,7.74,11.88,2.85,1.73,1.57,1.73,1.0
4.15,8.44,7.74,11.93,2.87,1.61,1.52,1.66,1.0
4.09,7.72,7.41,11.93,2.81,1.61,1.52,1.6,1.0
4.02,7.18,7.41,12.06,2.81,1.61,1.52,1.6,1.0
3.97,7.16,7.15,12.16,2.81,1.63,1.52,1.82,1.0
4.01,7.44,6.55,15.39,4.35,1.57,1.47,1.82,1.0
